Uuid,Void/Retire,Fully specified name:en,Data class,Data type,Same as mappings,_version:1,_order:2500
75720AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ephedrine,Drug,N/A,CIEL:75720,,
75722AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ephedrine hydrochloride,Drug,N/A,CIEL:75722,,
75744AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Epinephrine,Drug,N/A,CIEL:75744,,
75801AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ergonovine,Drug,N/A,CIEL:75801,,
75805AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ergotamine,Drug,N/A,CIEL:75805,,
75842AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Erythromycin,Drug,N/A,CIEL:75842,,
75875AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Esomeprazole,Drug,N/A,CIEL:75875,,
76305AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ferric ammonium citrate,Drug,N/A,CIEL:76305,,
76335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ferrous fumarate,Drug,N/A,CIEL:76335,,
76342AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ferrous sulfate,Drug,N/A,CIEL:76342,,
76464AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Floxacillin,Drug,N/A,CIEL:76464,,
76488AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Fluconazole,Drug,N/A,CIEL:76488,,
76552AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Fluoxetine,Drug,N/A,CIEL:76552,,
76555AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Flupentixol,Drug,N/A,CIEL:76555,,
76586AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Fluticasone,Drug,N/A,CIEL:76586,,
76613AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Folic acid,Drug,N/A,CIEL:76613,,
76734AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Furosemide,Drug,N/A,CIEL:76734,,
77029AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Gliclazide,Drug,N/A,CIEL:77029,,
77031AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Glimepiride,Drug,N/A,CIEL:77031,,
77037AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Glucagon,Drug,N/A,CIEL:77037,,
77071AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Glyburide,Drug,N/A,CIEL:77071,,
77164AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Griseofulvin,Drug,N/A,CIEL:77164,,
77204AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Guaifenesin,Drug,N/A,CIEL:77204,,
77335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Haloperidol,Drug,N/A,CIEL:77335,,
77675AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Hydralazine,Drug,N/A,CIEL:77675,,
77714AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Hydrocortisone,Drug,N/A,CIEL:77714,,
77725AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Hydrocortisone sodium succinate,Drug,N/A,CIEL:77725,,
77897AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ibuprofen,Drug,N/A,CIEL:77897,,
77953AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Imipramine,Drug,N/A,CIEL:77953,,
78068AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"Insulin, isophane, human",Drug,N/A,CIEL:78068,,
78200AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ipratropium bromide,Drug,N/A,CIEL:78200,,
78230AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Iron-dextran complex,Drug,N/A,CIEL:78230,,
78305AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Isosorbide dinitrate,Drug,N/A,CIEL:78305,,
78476AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ketoconazole,Drug,N/A,CIEL:78476,,
78599AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Labetalol,Drug,N/A,CIEL:78599,,
78617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ringer's lactate,Drug,N/A,CIEL:78617,,
78632AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Lactulose,Drug,N/A,CIEL:78632,,
